EmployeeID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,MaritalStatus,Gender,BirthDate,HireDate,SalariedFlag,CurrentFlag
1,295847284,adventure-works\ken0,,,Chief Executive Officer,S,M,1969-01-29,2009-01-14,True,True
2,245797967,adventure-works\terri0,/1/,1.0,Vice President of Engineering,S,F,1971-08-01,2008-01-31,True,True
3,509647174,adventure-works\roberto0,/1/1/,2.0,Engineering Manager,M,M,1974-11-12,2007-11-11,True,True
4,112457891,adventure-works\rob0,/1/1/1/,3.0,Senior Tool Designer,S,M,1974-12-23,2007-12-05,False,True
5,695256908,adventure-works\gail0,/1/1/2/,3.0,Design Engineer,M,F,1952-09-27,2008-01-06,True,True
6,998320692,adventure-works\jossef0,/1/1/3/,3.0,Design Engineer,M,M,1959-03-11,2008-01-24,True,True
7,134969118,adventure-works\dylan0,/1/1/4/,3.0,Research and Development Manager,M,M,1987-02-24,2009-02-08,True,True
8,811994146,adventure-works\diane1,/1/1/4/1/,4.0,Research and Development Engineer,S,F,1986-06-05,2008-12-29,True,True
9,658797903,adventure-works\gigi0,/1/1/4/2/,4.0,Research and Development Engineer,M,F,1979-01-21,2009-01-16,True,True
10,879342154,adventure-works\michael6,/1/1/4/3/,4.0,Research and Development Manager,M,M,1984-11-30,2009-05-03,True,True
11,974026903,adventure-works\ovidiu0,/1/1/5/,3.0,Senior Tool Designer,S,M,1978-01-17,2010-12-05,False,True
12,480168528,adventure-works\thierry0,/1/1/5/1/,4.0,Tool Designer,M,M,1959-07-29,2007-12-11,False,True
13,486228782,adventure-works\janice0,/1/1/5/2/,4.0,Tool Designer,M,F,1989-05-28,2010-12-23,False,True
14,42487730,adventure-works\michael8,/1/1/6/,3.0,Senior Design Engineer,S,M,1979-06-16,2010-12-30,True,True
15,56920285,adventure-works\sharon0,/1/1/7/,3.0,Design Engineer,M,F,1961-05-02,2011-01-18,True,True
16,24756624,adventure-works\david0,/2/,1.0,Marketing Manager,S,M,1975-03-19,2007-12-20,True,True
17,253022876,adventure-works\kevin0,/2/1/,2.0,Marketing Assistant,S,M,1987-05-03,2007-01-26,False,True
18,222969461,adventure-works\john5,/2/2/,2.0,Marketing Specialist,S,M,1978-03-06,2011-02-07,False,True
19,52541318,adventure-works\mary2,/2/3/,2.0,Marketing Assistant,S,F,1978-01-29,2011-02-14,False,True
20,323403273,adventure-works\wanida0,/2/4/,2.0,Marketing Assistant,M,F,1975-03-17,2011-01-07,False,True
21,243322160,adventure-works\terry0,/2/5/,2.0,Marketing Specialist,M,M,1986-02-04,2009-03-02,False,True
22,95958330,adventure-works\sariya0,/2/6/,2.0,Marketing Specialist,S,M,1987-05-21,2008-12-12,False,True
23,767955365,adventure-works\mary0,/2/7/,2.0,Marketing Specialist,M,F,1962-09-13,2009-01-12,False,True
24,72636981,adventure-works\jill0,/2/8/,2.0,Marketing Specialist,M,F,1979-06-18,2009-01-18,False,True
25,519899904,adventure-works\james1,/3/,1.0,Vice President of Production,S,M,1983-01-07,2009-02-03,True,True
26,277173473,adventure-works\peter0,/3/1/,2.0,Production Control Manager,M,M,1982-11-03,2008-12-01,True,True
27,446466105,adventure-works\jo0,/3/1/1/,3.0,Production Supervisor - WC60,S,F,1956-10-08,2008-02-27,False,True
28,14417807,adventure-works\guy1,/3/1/1/1/,4.0,Production Technician - WC60,M,M,1988-03-13,2006-06-30,False,True
29,948320468,adventure-works\mark1,/3/1/1/2/,4.0,Production Technician - WC60,S,M,1979-09-25,2009-01-23,False,True
30,410742000,adventure-works\britta0,/3/1/1/3/,4.0,Production Technician - WC60,M,F,1989-09-28,2009-01-29,False,True
31,750246141,adventure-works\margie0,/3/1/1/4/,4.0,Production Technician - WC60,M,F,1986-05-20,2009-01-04,False,True
32,330211482,adventure-works\rebecca0,/3/1/1/5/,4.0,Production Technician - WC60,M,F,1977-07-10,2008-12-29,False,True
33,801758002,adventure-works\annik0,/3/1/1/6/,4.0,Production Technician - WC60,M,M,1976-12-26,2008-12-17,False,True
34,754372876,adventure-works\suchitra0,/3/1/1/7/,4.0,Production Technician - WC60,M,F,1987-06-10,2009-02-16,False,True
35,999440576,adventure-works\brandon0,/3/1/1/8/,4.0,Production Technician - WC60,M,M,1977-01-10,2009-02-08,False,True
36,788456780,adventure-works\jose0,/3/1/1/9/,4.0,Production Technician - WC60,M,M,1984-07-31,2009-02-10,False,True
37,442121106,adventure-works\chris2,/3/1/1/10/,4.0,Production Technician - WC60,S,M,1986-08-07,2009-03-07,False,True
38,6298838,adventure-works\kim1,/3/1/1/11/,4.0,Production Technician - WC60,M,F,1966-12-14,2010-01-16,False,True
39,461786517,adventure-works\ed0,/3/1/1/12/,4.0,Production Technician - WC60,S,M,1971-09-11,2010-02-05,False,True
40,309738752,adventure-works\jolynn0,/3/1/2/,3.0,Production Supervisor - WC60,S,F,1956-01-16,2007-12-26,False,True
41,458159238,adventure-works\bryan0,/3/1/2/1/,4.0,Production Technician - WC60,S,M,1973-08-27,2009-01-21,False,True
42,339712426,adventure-works\james0,/3/1/2/2/,4.0,Production Technician - WC60,M,M,1984-07-25,2008-12-27,False,True
43,693325305,adventure-works\nancy0,/3/1/2/3/,4.0,Production Technician - WC60,M,F,1988-11-19,2009-01-02,False,True
44,276751903,adventure-works\simon0,/3/1/2/4/,4.0,Production Technician - WC60,S,M,1990-05-17,2008-12-08,False,True
45,500412746,adventure-works\thomas0,/3/1/2/5/,4.0,Production Technician - WC60,M,M,1986-01-10,2009-02-26,False,True
46,66073987,adventure-works\eugene1,/3/1/2/6/,4.0,Production Technician - WC60,S,M,1976-02-10,2009-02-08,False,True
47,33237992,adventure-works\andrew0,/3/1/3/,3.0,Production Supervisor - WC10,S,M,1988-09-06,2009-02-22,False,True
48,690627818,adventure-works\ruth0,/3/1/3/1/,4.0,Production Technician - WC10,M,F,1956-06-04,2008-01-06,False,True
49,912265825,adventure-works\barry0,/3/1/3/2/,4.0,Production Technician - WC10,S,M,1956-03-26,2008-01-07,False,True
50,844973625,adventure-works\sidney0,/3/1/3/3/,4.0,Production Technician - WC10,M,M,1956-08-30,2008-02-02,False,True
51,132674823,adventure-works\jeffrey0,/3/1/3/4/,4.0,Production Technician - WC10,S,M,1956-07-11,2008-02-20,False,True
52,565090917,adventure-works\doris0,/3/1/3/5/,4.0,Production Technician - WC10,M,F,1956-04-04,2008-03-10,False,True
53,9659517,adventure-works\diane0,/3/1/3/6/,4.0,Production Technician - WC10,M,F,1956-03-29,2008-03-28,False,True
54,109272464,adventure-works\bonnie0,/3/1/3/7/,4.0,Production Technician - WC10,M,F,1986-09-10,2010-01-01,False,True
55,233069302,adventure-works\taylor0,/3/1/4/,3.0,Production Supervisor - WC50,M,M,1956-04-01,2008-02-08,False,True
56,652535724,adventure-works\denise0,/3/1/4/1/,4.0,Production Technician - WC50,M,F,1988-07-06,2009-02-05,False,True
57,10708100,adventure-works\frank1,/3/1/4/2/,4.0,Production Technician - WC50,S,M,1971-07-24,2009-02-23,False,True
58,571658797,adventure-works\kendall0,/3/1/4/3/,4.0,Production Technician - WC50,M,M,1986-05-30,2008-12-05,False,True
59,843479922,adventure-works\bob0,/3/1/4/4/,4.0,Production Technician - WC50,S,M,1979-08-16,2008-12-24,False,True
60,827686041,adventure-works\pete0,/3/1/4/5/,4.0,Production Technician - WC50,S,M,1977-02-03,2009-01-11,False,True
61,92096924,adventure-works\diane2,/3/1/4/6/,4.0,Production Technician - WC50,S,F,1989-08-09,2009-01-18,False,True
62,494170342,adventure-works\john0,/3/1/5/,3.0,Production Supervisor - WC60,M,M,1956-08-07,2008-03-17,False,True
63,414476027,adventure-works\maciej0,/3/1/5/1/,4.0,Production Technician - WC60,S,M,1955-01-30,2010-01-29,False,True
64,582347317,adventure-works\michael7,/3/1/5/2/,4.0,Production Technician - WC60,S,M,1973-09-05,2010-02-23,False,True
65,8066363,adventure-works\randy0,/3/1/5/3/,4.0,Production Technician - WC60,M,M,1970-04-28,2010-02-23,False,True
